Item,Type,Quantity,Calories,Carbohydrate,Fat,Protein
Sevai,Homemade, 50 g (1 servings),180,40g,1g,10g
Sevai,Coconut, 50 g,250,75g,7g,4g
Sevai,Bambino, 1 cup (Raw Sevai),417,65g,14g,8g
carrot,1 cup, chopped,41,10g,0g,1g
carrot,Carrot chips, 3 oz,35,8g,0g,1g
carrot,Carrot, 1 unit,30,7g,0g,1g
lemon juice,Compliments Lemon Juice, 1 tsp,0,0g,0g,0g
lemon juice,Realemon Lemon Juice, 1 cup,51,16g,0g,1g
lemon juice,Westcliff Lemon Juice, 10 ml,3,0g,0g,0g
Boiled pork,Lean Pork, 100 g,195,0g,8g,29g
Boiled pork,Boiled, 100 g,277,0g,23g,16g
Boiled pork,Pork, 1 cup,293,0g,14g,40g
whole red beans,Tesco Whole Foods, 1 g,125,21g,1g,8g
whole red beans,Ducal, 130 g,110,18g,2g,5g
whole red beans,Beans, 1 cup,225,40g,1g,15g
Naan bread,Reya Naan Bread, 0.5 piece (50g),140,22g,4g,4g
Naan bread,Bread, 50 g,102,5g,2g,5g
Naan bread,Bilash Plain Naan Bread, 1 naan,361,63g,6g,11g
Raw rice,Rice, 100 g,341,78g,0g,7g
Raw rice,Brown Rice, 100 g,357,76g,2g,7g
sesame seeds,Sesame Seeds, 1 bagel,290,54g,4g,11g
sesame seeds,Sesame Seeds Sainsburys (2018), 100 g,622,1g,58g,18g
sesame seeds,Sesame seeds, 1 tbsp,52,2g,5g,2g
khus khus,Revive, 1 bowl,150,0g,0g,0g
khus khus,rallis, 35 ml,307,75g,0g,0g
khus khus,mapro, 1 glass,300,2g,0g,0g
dry fruits,Fruits, 28 gram,61,14g,0g,1g
dry fruits,Dry fruits, 0.333333 cup,200,32g,7g,4g
dry fruits,Dry Fruits, 100 g,341,82g,0g,1g
sorghum flour,Jowar / Sorghum / Milo Flour, 4 pieces cooked - 1 cup raw - 192g,651,143g,6g,21g
sorghum flour,Bobs sorghum flour, 0.25 cup,130,28g,1g,14g
sorghum flour,soghum flour, 100 gram,359,77g,3g,8g
yellow mustard,Mustard, 2 tsp,5,0g,0g,0g
yellow mustard,heinz mustard, 1 tsp,0,0g,0g,0g
yellow mustard,frenches, 1 teaspoon,0,0g,0g,0g
Fermented bamboo shoot,bamboo, 3 pieces,20,4g,0g,1g
Fermented bamboo shoot,bamboo shoot, 1 包,380,17g,16g,40g
Fermented bamboo shoot,Generic, 1 oz,19,4g,0g,1g
Fish,fish, 4 oz,100,1g,3g,20g
Fish,Fish sticks, 6 sticks,220,24g,9g,9g
Fish,gold fish, 1 cup,140,20g,5g,4g
Potatoes,Russel potatoes, 1 cup,110,26g,0g,3g
Potatoes,Russet Potatoes, 1 potato,110,26g,0g,3g
dried mango,Mango Dried, 3 pieces,120,30g,0g,2g
dried mango,Joes dried mango, 6 pieces,180,43g,0g,1g
dried mango,Dried Mango, 1 serving,160,39g,0g,0g
oil,Oil, 10 g,90,0g,10g,0g
oil,Oil, 1 Tbsp,120,0g,14g,0g
oil,Flax oil, 1 tbsp,120,0g,14g,0g
heavy cream,Wegmans - Heavy Cream, 1 tbsp,50,0g,6g,0g
heavy cream,Organic Heavy Cream, 1 tbsp,45,0g,5g,0g
heavy cream,Heavy Cream <1 Carb, 1 Tbsp (15 mL),50,1g,5g,0g
tandoori masala,Rajah, 100 g,301,40g,18g,11g
tandoori masala,Desi, 28 g (2 tbsp),25,3g,1g,1g
tandoori masala,Shan Tandoori Masala, 11 g,15,3g,0g,1g
green bell pepper,Bell Pepper (Green), 1 oz,6,1g,0g,0g
green bell pepper,Juiced Green Bell Pepper, 1 medium pepper,12,4g,0g,1g
green bell pepper,Bell Pepper, 1 cup,18,4g,0g,1g
dried rose petals,Sania, 100 g,248,62g,0g,0g
dried rose petals,Rose Dose, 1 gram,0,0g,0g,0g
dried rose petals,Rose petals soda, 8 fl oz,120,29g,0g,0g
Corn flour,Corn Flour, 100 g,107,17g,3g,3g
Corn flour,Pan Corn Flour, 0.25 cup,110,24g,1g,2g
Corn flour,Maseca, 0.25 cup/ or 30 g,110,23g,1g,3g
Pigeon peas,Pigeon Peas, 0.5 cup,140,24g,1g,8g
Pigeon peas,Goya, 125 gms,100,18g,0g,5g
Pigeon peas,Pigeon Peas, 1 Cup(170 gr),168,30g,2g,9g
biryani masala powder,Mdh Hyderabadi Biryani Masala, 5 g,7,2g,1g,1g
biryani masala powder,satvikk specialty foods, 100 gram,332,46g,12g,17g
biryani masala powder,Radhuni, 10 g,37,6g,1g,1g
garlic powder,Garlic Powder, Tone's,0,0g,0g,0g
garlic powder,Tones garlic powder, 0.25 teaspoon,0,1g,0g,0g
falooda sev,Himalayan Delight Falooda Sev, 10 g,35,8g,0g,1g
falooda sev,Sev, 1 cup,250,17g,19g,7g
falooda sev,Kings Gn Products, 10 g,35,8g,0g,1g
cucumber,Cucumber, 1 larger,34,6g,0g,2g
cucumber,Small Cucumber, 1 cup,19,3g,0g,1g
green peas,Organic green peas, 85 g,70,12g,0g,5g
green peas,Peas, 0.67 Cup,70,12g,0g,5g
fried milk power,Nido Milk, 43.5 g,221,17g,12g,10g
fried milk power,Muscle Milk, 1 scoop,160,11g,3g,25g
fried milk power,power pack, 35 Gramm,134,16g,4g,9g
chillies,Crushed chillies, 1 gram,0,0g,0g,0g
chillies,oaklands, 100 gram,40,33g,2g,4g
chillies,Crushed chillies, 20 g,63,7g,3g,2g
Rose water,Natural Rose, 1 bottle,80,21g,0g,0g
Rose water,Florian Rose water, 100 ml,40,10g,0g,0g
Rose water,H2ROSE, 12 oz,80,22g,0g,0g
Chickpeas,chickpeas, 1 tablespoon,46,8g,1g,2g
Chickpeas,Chickpeas Tesco, 220 g,360,60g,6g,20g
Chickpeas,Edgell Chickpeas, 80 g,110,18g,2g,7g
Red kidney beans,Red Kidney Beans, 1 container (4/5 cups ea.),110,21g,0g,7g
Red kidney beans,Red Kidney Beans, 90 g,115,20g,1g,8g
Red kidney beans,Koo Red Kidney Beans, 100 g,82,9g,0g,7g
mawa,Mawa, 0.25 cup,140,9g,11g,4g
mawa,Gujiya, 1 Piece (50 g),200,30g,8g,2g
mawa,Nanak, 14 g,45,3g,3g,2g
masoor dal,Masoor, 100 grams,116,20g,0g,9g
masoor dal,Rc Homemade Masoor Dal ( No Oil ), 0.25 cup,130,20g,1g,10g
masoor dal,Deep, 0.5 Cup Uncooked (100 gms),350,60g,2g,23g
tindora,Surati, 130 g,22,3g,0g,3g
tindora,Homemade - Tindora Shaak, 1 cup cooked (163gms),168,34g,3g,1g
tindora,Homemade, 1 (55 g),105,18g,4g,2g
axone,Axone, 3 biscuits,279,42g,11g,4g
axone,Axone, 1 bouteille,105,3g,3g,15g
axone,Axone, 1 gateau,32,5g,1g,0g
bombay rava,Rava Payasam/kheer, 1 bowl,350,13g,4g,10g
bombay rava,Rava, 1 cup,360,73g,1g,13g
bombay rava,Mtr, 1 piece,80,21g,7g,3g
Coconut milk,Starbucks coconut milk, 1 cup,118,17g,5g,1g
Coconut milk,Silk Coconut Milk, 240 ml (1 Cup),45,1g,5g,0g
Coconut milk,Silk Coconut Milk, 240 ml,45,1g,5g,0g
Cashews,Cashews, 0.25 cup,160,8g,13g,5g
Cashews,Cashews, 0.25 cup,160,8g,12g,5g
rose water,Natural Rose, 1 bottle,80,21g,0g,0g
rose water,Florian Rose water, 100 ml,40,10g,0g,0g
rose water,H2ROSE, 12 oz,80,22g,0g,0g
red onion,Fried red onion, 100 g,48,1g,1g,0g
Rice flour,Rice flour, 100 g,363,80g,1g,5g
aloo,aloo bhujia, 27 grams,156,11g,12g,2g
aloo,Aloo Matar Shorba, 293.3 Gram,219,48g,1g,7g
aloo,Sara's Aloo Gobhi, 2 cups,155,23g,3g,5g
Sugar,Sugar, 1 teaspoon,15,4g,0g,0g
Sugar,Organic sugar, 1 tsp,15,4g,0g,0g
Cottage cheese,Aldi's cottage cheese, 0.5 c,80,6g,2g,12g
Cottage cheese,Cottage Cheese, 0.5 cup,120,5g,5g,13g
Cottage cheese,hood lowfat cottage cheese, 0.5 cup,90,5g,1g,14g
dinner rolls,Dinner, 1 roll,120,20g,3g,3g
dinner rolls,Dinner Rolls, 1 Roll,80,15g,1g,3g
dinner rolls,White Dinner Rolls, 1 Roll,126,26g,1g,4g
sesame,Sesame Sticks, 0.333333 cup,170,14g,11g,3g
sesame,Sesame Oil, 13.6 g,120,0g,14g,0g
sesame,Sesame, 0.333 cup,280,23g,19g,5g
Green chilies,Generic, 4 oz,24,5g,0g,1g
Green chilies,Dan95130, 1 burger,443,17g,28g,26g
Green chilies,Rotel, 0.5 cup,25,5g,0g,1g
black salt,Black salt, 1 gram,3,1g,0g,0g
black salt,tata black salt, 100 gram,0,0g,0g,0g
black salt,Salt, 0.25 tsp (1.5g),0,0g,0g,0g
peanut oil,peanut oil, 20 ml,160,0g,18g,0g
peanut oil,Meijer, 1 Tbsp,120,0g,14g,0g
Carrot,1 cup, chopped,41,10g,0g,1g
Carrot,Carrot chips, 3 oz,35,8g,0g,1g
Carrot,Carrot, 1 unit,30,7g,0g,1g
marinade,nandos marinade, 20 gram,17,2g,1g,0g
marinade,Teriyaki marinade, 1 tbsp,20,5g,0g,0g
marinade,Meijer Hawaiian Marinade, 1 Tbsp,20,5g,0g,0g
Brinjal,Brinjal, 1 kg(s),20,5g,0g,1g
Brinjal,Brinjal, 100 gm,35,9g,0g,1g
Brinjal,Brinjal Potato Curry, 1 cup cooked,195,18g,2g,3g
soaked rice,Peanuts - Soaked, 1 oz,159,5g,14g,7g
soaked rice,Homemade, 5 almond,35,1g,3g,1g
soaked rice,Raw Food, 0.25 cup (23 nuts),160,6g,14g,6g
Curd,Curd, 100 gms,61,5g,3g,4g
Curd,Curd Rice, 1 cup cooked,300,41g,6g,17g
Curd,Cheese curd, 1 oz,110,0g,9g,7g
green chilies,Generic, 4 oz,24,5g,0g,1g
green chilies,Dan95130, 1 burger,443,17g,28g,26g
green chilies,Rotel, 0.5 cup,25,5g,0g,1g
Greek yogurt,Lidl Greek Yogurt, 8 oz,122,3g,11g,5g
Greek yogurt,yoplait greek yogurt, 5.3 oz,139,8g,9g,6g
Greek yogurt,Skotidakis Greek Yogurt, 150 g,110,15g,0g,12g
Yogurt,Nonfat yogurt, 1 cup,80,14g,0g,5g
Yogurt,carb yogurt, 1 cup,60,4g,2g,8g
Yogurt,Meijer yogurt, 6 oz,100,20g,0g,5g
valor papdi,Papdi, 100 gms,638,35g,50g,12g
valor papdi,bikano dahi papdi, 30 g,122,0g,0g,0g
valor papdi,Valor, 100 g,290,65g,3g,5g
dry roasted,Dry Roasted Edamame, 1 package,130,10g,4g,14g
dry roasted,Planters, 1 cup,160,5g,14g,7g
dry roasted,Almonds, 0.25 package,170,5g,15g,6g
yellow moong daal,None, 0.5 cup cooked,162,18g,6g,8g
yellow moong daal,Moong Daal, 50 Gram,174,8g,0g,12g
yellow moong daal,Moong Daal, 240 grams(1 Cup),280,15g,2g,10g
reduced milk,Reduced Fat Milk, 1 cup,140,14g,5g,10g
reduced milk,Braum's reduced fat milk, 1 cup,130,13g,5g,9g
reduced milk,Milk, 8 oz,122,12g,5g,8g
whole wheat bread,Walmart whole wheat bread, 1 slice,60,11g,1g,3g
whole wheat bread,Reva's Whole Wheat Bread, 1 slice,100,19g,2g,4g
Moong beans,Swad, 52 g,180,32g,1g,12g
Moong beans,Sprouts, 1 cup,180,28g,0g,14g
Moong beans,Nirav Moong Dal, 0.5 cup (dry),380,65g,2g,28g
Lamb,Lamb, 100 gram,250,0g,18g,21g
Lamb,Lamb Chops, 112 g,320,0g,26g,19g
Lamb,Lamb, 100 grams,192,0g,13g,20g
Lentils,Lentils, 1 cup,230,40g,1g,18g
Lentils,Lentils, 100 g,116,13g,1g,12g
Lentils,Ethopian Lentils, 0.5 cup,144,19g,5g,8g
Cauliflower,1 cup, chopped,25,5g,0g,2g
Cauliflower,Cauliflower Pilaf, 2.5 cups,617,79g,22g,27g
Cauliflower,Cauliflower, 100 g,25,5g,0g,2g
whole egg,Egg, 1 large,74,0g,5g,6g
whole egg,Egg, 1 egg,70,1g,5g,6g
whole egg,Egg, 1 Egg,80,0g,6g,7g
Baking soda,Baking Soda, 0.5 teaspoon,0,0g,0g,0g
Baking soda,Generic, 0.125 tsp. (o.6g),0,0g,0g,0g
Baking soda,red mill baking soda, 1.25 tsp,0,0g,0g,0g
Whole wheat flour,whole wheat flour, 0.25 cup,110,21g,1g,4g
Whole wheat flour,Whole-wheat flour, 100 g,366,72g,7g,12g
Whole wheat flour,Ole Whole Wheat Flour Tortilla, 1 tortilla,90,12g,3g,4g
sweetened milk,Longevity Brand Sweetened Condensed Milk, 1 tbs (15ml),60,11g,2g,1g
sweetened milk,Condenced Milk, 1 tablespoon,66,11g,2g,1g
ginger,Ginger Ale, 12 fl oz,140,37g,0g,0g
ginger,the Ginger People, 2 pieces,40,10g,0g,0g
ginger,the Ginger People, 24 g (about 4 pieces),80,19g,0g,0g
all purpose flour,All purpose flour, 0.25 cup,110,22g,1g,3g
all purpose flour,Magnolia All Purpose Flour, 30 g,100,22g,0g,4g
all purpose flour,Sf All Purpose Flour, 1 cup,364,65g,3g,18g
whole urad dal,Veer Urad Dal, 100 gm,270,40g,3g,20g
whole urad dal,Urad Dal Cooked, 0.5 Cup Cooked,235,33g,5g,14g
whole urad dal,Meera's Kali Dal, 1 cup cooked,175,0g,0g,12g
Green garlic chutney,Green Chutney, 15 milliliter,5,1g,0g,0g
Green garlic chutney,Garlic chutney, 100 gram,180,27g,7g,3g
Green garlic chutney,Homemade, 1 portion,34,0g,1g,0g
whole wheat flour,whole wheat flour, 0.25 cup,110,21g,1g,4g
whole wheat flour,Whole-wheat flour, 100 g,366,72g,7g,12g
whole wheat flour,Ole Whole Wheat Flour Tortilla, 1 tortilla,90,12g,3g,4g
Fish roe,Tobiko flying fish roe, 1 tbsp,20,3g,0g,1g
Fish roe,Generic, 1 tbsp,40,1g,3g,4g
Fish roe,Generic, 100 gm,144,5g,8g,13g
garam masala,garam masala, 0.5 gram,20,0g,0g,0g
garam masala,Garam Masala, 15 grams,46,9g,2g,2g
garam masala,Viks Garam Masala, 1 tablespoon,15,3g,1g,0g
Chenna,Cooked Chenna Brown, 1 cup,0,0g,0g,0g
Chenna,Homemade, 1 cup,150,10g,9g,8g
Chenna,Homemade, 50 gm,260,0g,0g,0g
mung bean,Mung, 30 gr,180,6g,13g,9g
mung bean,Mung Bean, 100 gram,341,65g,1g,23g
mung bean,mung, 1 cup,62,12g,0g,6g
mashed potato,coop mashed potato, 200 g,179,24g,7g,3g
mashed potato,Cooperative British Mashed Potato, 100 g,65,12g,1g,1g
mashed potato,Superquinn Mashed Potato, 200 g,170,28g,4g,4g
cooked rice,Rice, 0.5 cup cooked,80,20g,0g,0g
cooked rice,White Jasmine Rice (Cooked, 1 cup,205,45g,0g,4g
cooked rice,Stronger U Rice - Cooked, 1 cup - 6 oz,205,45g,0g,4g
dal,Dal, 0.5 cup (125ml),150,21g,2g,7g
dal,Matar Dal, 1 serving,193,28g,6g,10g
dal,Moong Dal, 100 gram,100,26g,3g,10g
almonds,BD Almonds, 1 oz,170,5g,16g,6g
almonds,Almonds roasted, 1 ounce 28g,170,5g,15g,6g
green,Green, 1 meal,30,3g,0g,3g
green,Green Grapes, 1 cup,62,16g,0g,1g
green,Green superfood, 1 scoop,30,4g,1g,2g
semolina,Semolina Flour, 1 Cup,600,122g,2g,21g
semolina,Shamrock Semolina, 100 g,339,66g,2g,13g
saffron,Rice, 2 oz,200,43g,1g,4g
saffron,saffron, 5 gram,19,5g,0g,0g
plain flour,Plain Flour, 100 grams,342,70g,1g,11g
plain flour,Flour, Gold Medal Plain,110,22g,0g,3g
plain flour,Asda, 100 g,357,74g,2g,10g
tamarind paste,tamarind paste, 1 tbsp,11,2g,0g,0g
tamarind paste,Tamarind Paste, 195 g,425,24g,0g,1g
tamarind paste,Sainsbury's, 100 g,293,49g,9g,2g
Chhena,parag, 1 cup,250,20g,7g,15g
Chhena,Bikaji, 28 gram,75,16g,0g,2g
Chhena,Generic Chhena Jalebi, 1 cup,100,1g,1g,50g
kala jeera,Deep, 1 tsp (gr),0,0g,0g,0g
kala jeera,Jeera Rice, 1 cup,200,24g,6g,2g
kala jeera,raj jeera, 25 ml,100,25g,0g,0g
black sesame seeds,Lijie - Black Sesame Seeds, 100 g,665,0g,58g,20g
black sesame seeds,Sesame, 10 g,57,2g,5g,2g
black sesame seeds,Sesame Seeds, 3 slices,50,0g,1g,11g
watercress,watercress, 1 cup,0,0g,0g,0g
watercress,1 cup, chopped,11,1g,0g,2g
watercress,Watercress, 1 cup,2,0g,0g,1g
white urad dal,Veer Urad Dal, 100 gm,270,40g,3g,20g
white urad dal,Urad Dal Cooked, 0.5 Cup Cooked,235,33g,5g,14g
white urad dal,laxmi, 2 oz,160,28g,1g,11g
Vermicelli pudding,Generic, 1 cup,300,0g,0g,0g
Vermicelli pudding,Campers Pantry, 1 pack,204,35g,5g,5g
Vermicelli pudding,Dars, 200 gram,250,44g,4g,10g
idli rice,Idli, 4 Cooked,232,48g,2g,6g
idli rice,My Rice Idli, 1 (12.7g),45,9g,0g,2g
idli rice,rice idli, 100 gram,344,73g,1g,13g
whole red,Grapefruit," 0.5 fruit (3-3/4"" dia)(123 g)",52,13g,0g,1g
whole red,Parkhurst, 2 Oz,6,1g,0g,0g
whole red,Cherries, Fresh,91,17g,0g,1g
Greens,Salad greens, 1 cup,20,3g,0g,2g
Greens,Mustard Greens, 1 Cup,15,3g,0g,2g
Greens,Forager, 12 fl oz,60,17g,0g,2g
Paneer,paneer, 28 g,100,0g,8g,6g
Paneer,Paneer, 28 g,100,0g,8g,6g
Paneer,Malai paneer, 1 cup,366,2g,31g,21g
boondi,Boondi, 1 oz,145,12g,10g,5g
boondi,Masala Boondi, 34 g,170,15g,10g,6g
boondi,Bikano Boondi, 31 gm,161,12g,12g,3g
kasuri methi,Spice, 1 tsp (4g),12,2g,0g,1g
kasuri methi,kasuri methi, 1 cup,5,0g,0g,0g
kasuri methi,everest, 100 граммов,297,46g,4g,19g
fennel seeds,Generic, 1 Teaspoon,7,1g,0g,0g
fennel seeds,Hoyts, 1 tsp (2 g p/tsp),7,1g,0g,0g
fennel seeds,Naturevibe Organic Fennel Seeds, 1 oz (28g),100,15g,4g,4g
capsicum,Capsicum, 1 cup,51,12g,0g,1g
capsicum,Capsicum, 100 g,31,6g,0g,1g
capsicum,Fresh, 1 Serv,30,4g,0g,2g
Carrots,1 cup, chopped,41,10g,0g,1g
Carrots,Carrots, 78 grams,27,6g,0g,1g
Carrots,Carrots, 3 oz,35,8g,0g,1g
rock salt,Himalayan Rock Salt, 100 g,0,0g,0g,0g
rock salt,salt, 85 g,140,0g,7g,19g
rock salt,Generic, 1 tsp,0,0g,0g,0g
Khoa,Avin, 1 cup,402,56g,14g,11g
Khoa,Nanak, 14 g,45,3g,3g,2g
Khoa,khoa, 1 goi,167,36g,4g,3g
chilli,Chilli, 2 cups,318,45g,14g,45g
chilli,Chilli, 250 grams,250,13g,8g,16g
chilli,Homemade Chilli, 255 oz,350,33g,14g,24g
Chole,Nm, 3 oz,40,8g,1g,2g
Chole,Kc, 1 cup,157,24g,5g,7g
Chole,Chawal, 1 plate,0,0g,0g,0g
onions,Onions, 0.25 cup,38,9g,0g,0g
onions,Onions, 1 oz,12,3g,0g,0g
onions,Cooking Onions, 0.5 cup,25,6g,0g,1g
tomato paste,Cento Tomato Paste, 2 tbsp,30,6g,0g,1g
tomato paste,Hy-Vee Tomato Paste, 2 tbsp,30,6g,0g,2g
tomato paste,Kroger, 2 tbsp,30,6g,0g,2g
dough,Pizza Dough, 2 oz,130,24g,1g,5g
dough,Cookie dough, 0.25 cup,120,16g,6g,1g
dough,pastry dough, 340 g,1234,0g,0g,0g
bell peppers,Mini Peppers, 3 peppers,25,5g,0g,1g
bell peppers,Bell Peppers Mulit Color, 0.5 c cooked,19,7g,0g,1g
bell peppers,Bell Peppers, 1 Cup,39,9g,1g,2g
khus-khus seeds,Revive, 1 bowl,150,0g,0g,0g
khus-khus seeds,indian, 1 tablespoon,50,3g,4g,2g
khus-khus seeds,rallis, 35 ml,307,75g,0g,0g
masala,Masala Vada, 2 pc,100,19g,1g,5g
masala,Masala Puri, 1 pc,36,8g,0g,1g
masala,Masala Boondi, 34 g,170,15g,10g,6g
Raw banana,Raw Banana, 100 g,89,23g,0g,1g
Raw banana,Raw, 1 Medium,105,27g,0g,1g
Raw banana,Banana, 10 grams,10,2g,0g,0g
blend rice,Rice Select, 0.333333 cup,140,30g,1g,3g
blend rice,Rice Select, 0.333333 cup dry,140,30g,1g,3g
blend rice,Royal Blend, 0.333333 Cup,140,30g,1g,3g
green chili,Green Chili Company, 45 g,18,4g,0g,1g
green chili,Green Chili Chicken Enchiladas, 2 Enchiladas,509,14g,8g,25g
green chili,Homemade, 1 cup,420,13g,18g,16g
Wheat flour,whole wheat flour, 0.25 cup,110,21g,1g,4g
Wheat flour,Flour, 1 cup,455,95g,0g,13g
Wheat flour,wheat flour, 100 gram,350,77g,1g,9g
Milk powder,milk powder, 100 gram,510,39g,28g,24g
Milk powder,Muscle Milk, 1 scoop,150,9g,6g,16g
Milk powder,ensure milk powder, 1 cup,200,31g,8g,9g
Raw peanuts,Raw peanuts, 1 Handful,160,5g,14g,7g
Raw peanuts,Raw, 30 g,168,6g,14g,8g
Raw peanuts,Raw Peanuts, 1 oz,161,5g,14g,7g
Brown rice flour,Brown rice flour, 1 unidad,353,74g,3g,6g
Brown rice flour,Brown rice flour, 100 gram,363,77g,3g,7g
jaggery,Jaggery, 1 tsp,15,4g,0g,0g
jaggery,Viola- Jaggery/gur, 100 gm,383,95g,0g,0g
jaggery,Indian, 100 g,358,85g,0g,0g
butter,1 pat (1 inch sq, 1/2 inch high),717,0g,81g,1g
butter,Apple butter, 1 tbsp,30,8g,0g,0g
butter,Butter, 1 tbsp,100,0g,11g,0g
bread crumbs,Italian. Bread Crumbs, 0.33 cup,110,21g,2g,4g
bread crumbs,Panko crispy bread crumbs, 0.25 cup,100,20g,0g,2g
bread crumbs,Bread, 100 g,120,22g,1g,5g
alum powder,GNC, 1 scoop,35,0g,0g,9g
alum powder,Non-Alum, 50 g,178,43g,0g,0g
alum powder,biovela, 100 gram,210,3g,16g,14g
frozen green peas,Frozen, 89 g,70,12g,0g,5g
frozen green peas,Kroger, 0.666667 c,70,12g,0g,5g
pistachio,Pistachio Nuts, 1 oz (28 g.),160,8g,13g,6g
pistachio,Magnum, 1 portion,280,26g,19g,0g
pistachio,Ben & Jerry's, 100 g,260,21g,17g,5g
chickpeas,chickpeas, 1 tablespoon,46,8g,1g,2g
chickpeas,Chickpeas Tesco, 220 g,360,60g,6g,20g
chickpeas,Edgell Chickpeas, 80 g,110,18g,2g,7g
Black lentils,Lentils,,304,41g,2g,23g
Black lentils,Black lentils, 35 g,120,22g,1g,8g
Black lentils,Generic, 0.25 cup,170,30g,1g,13g
coconut oil,Oil, 1 tbs,120,0g,14g,0g
coconut oil,A1 Coconut Oil, 30 g,118,0g,27g,0g
salt,Salt, 1 g,0,0g,0g,0g
salt,Salt, 1 Tablespoons,0,0g,0g,0g
pork,Pork, 4 oz,120,1g,3g,23g
pork,Pork, 4 oz,130,1g,5g,23g
pork,Pork Patties, 2 patties,140,1g,9g,12g
prawns,Prawns, 100 g,115,0g,1g,23g
prawns,Prawns, 1 prawn,9,0g,0g,2g
prawns,Battered Prawns, 150 gr,240,31g,10g,18g
red food coloring,Generic, 1 t,0,0g,0g,0g
red food coloring,Mccormick, 1 drop,0,0g,0g,0g
red food coloring,Great Value Gel Food Coloring, 1 tsp,15,4g,0g,0g
Citric acid,Citric acid, 1 gram,0,0g,0g,0g
Citric acid,Generic, 1 tbsp(s),0,0g,0g,0g
Citric acid,Nuts.com, 100 g (3.5 oz),2,0g,0g,0g
low fat,Low Fat Butter, 10 gms,54,0g,6g,1g
low fat,Physical Low Fat, 1 cup,129,13g,3g,12g
low fat,Pauls - Physical - Low Fat., 100 ml,42,6g,0g,4g
thick poha,swad thick poha, 51 gm,180,38g,1g,4g
thick poha,Asli poha, 28 gms,100,22g,0g,2g
thick poha,Bansi, 28 g (1oz),90,21g,0g,2g
egg yolks,Egg Yolks (JLDN), 30 g - 1 oz,91,1g,8g,5g
egg yolks,6 Egg Whites, 3 Yolks,286,1g,18g,30g
egg yolks,Myprotein, 15 grams,100,1g,9g,5g
Sev,Sev, 1 cup,250,17g,19g,7g
Sev,Regular Sev, 1 tbsp,180,10g,14g,4g
Sev,Bhel sev, 0.5 cup,549,32g,46g,14g
chenna cheese,Cooked Chenna Brown, 1 cup,0,0g,0g,0g
chenna cheese,Homemade, 1 cup,150,10g,9g,8g
chenna cheese,Homemade, 50 gm,260,0g,0g,0g
mutton,Mutton, 100 grams,294,0g,21g,25g
mutton,Fried Mutton, 100 g,235,0g,14g,26g
mutton,Biryani-mutton, 439.3 G,640,80g,23g,10g
Kala chana,KTC Kala Chana, 100 grams,115,16g,3g,7g
Kala chana,Devi Kala Chana, 50 gram,81,14g,1g,4g
Kala chana,Indian - Kala Chana, 164 g (1 cup),300,60g,8g,15g
elachi,Tetley, 1 cup,92,4g,0g,19g
elachi,Verka, 100 ml,83,11g,3g,3g
elachi,heritage, 100 g,84,14g,2g,3g
litre milk,Avonmore, 100 ml,49,5g,1g,5g
litre milk,Supervalu, 200 ml,128,10g,7g,7g
litre milk,Centra, 100 ml,64,5g,4g,3g
nestle cream,Nestle Tin Cream, 1 tbsp,40,0g,4g,0g
nestle cream,Nestle, 3 container,30,4g,2g,0g
nestle cream,Nestle, 1 bar,90,18g,2g,1g
Meat curry powder,Baba's, 100 g,414,52g,16g,15g
Meat curry powder,gbabas) meat curry powder, 101 g,368,54g,18g,16g
Meat curry powder,meat curry powder (babas), 101 g,368,54g,18g,16g
Tea leaves,Tea, 1 l,0,0g,0g,0g
Tea leaves,Tea, 1 tea bag,0,0g,0g,0g
Tea leaves,Green Tea + Mint Leaves, 1 cup,0,0g,0g,0g
desiccated coconut,Coles Desiccated Coconut, 45 g,684,8g,67g,7g
desiccated coconut,desiccated coconut, 100 gram,711,7g,69g,7g
desiccated coconut,Evolution, 100 g,640,6g,62g,6g
fresh coconut,Fresh -, 1 cup,46,9g,1g,2g
fresh coconut,Fresh From Coconut, 1 coconut,46,9g,0g,0g
fresh coconut,Generic, 1 cup,283,12g,27g,3g
Beaten rice flakes,Kathmandu taichin rice flakes, 100 g,360,78g,2g,8g
Beaten rice flakes,Red beaten rice (Taichung Chiura), 50 grams,100,20g,1g,3g
Beaten rice flakes,Uttam, 100 gram,363,86g,1g,7g
Tomato,beefsteak tomato, 1 medium,25,5g,0g,1g
Tomato,Tomato, 1 (148 grams),35,7g,1g,1g
sauce,Sauce, 1 cup,70,10g,2g,2g
sauce,Zaxby's sauce, 1 package,180,6g,17g,0g
sauce,Diana Sauce, 2 Tbsp,60,15g,0g,0g
imli,Imli, 200 g,320,80g,0g,0g
imli,Pani Puri imli, 100 gram,58,16g,0g,0g
imli,imli goli, 5 gram,75,4g,0g,0g
red chilli,Red Chilli (fresh) Ballapaddag, 1 full chilli,12,0g,0g,0g
red chilli,Red Robin, 1 Plate,1954,130g,132g,62g
red chilli,Anita's Red Deer Chilli, 0.5 c,55,10g,0g,3g
steamer,Green Gaint Valley Steamer, 0.5 cup,45,8g,1g,2g
steamer,Bird's Eye, 1 cup,50,6g,2g,2g
steamer,Generic, 14 clams,70,3g,4g,7g
ginger and garlic,garlic and ginger paste, 100 g,187,41g,1g,7g
ginger and garlic,Tooba, 1 TBSP. 20g,25,3g,1g,1g
