Item,Type,Quantity,Calories,Carbohydrate,Fat,Protein
raisins,Yogurt raisins, 1 box,120,20g,5g,1g
raisins,CVS raisins, 1 box,90,22g,0g,1g
chicken chunks,chicken chunks, 4 oz.,200,20g,6g,17g
chicken chunks,Tesco Flamegrilled Chicken Chunks, 90 g,96,2g,1g,19g
chicken chunks,Tyson, 3 oz,120,1g,2g,23g
baking soda,Baking Soda, 0.5 teaspoon,0,0g,0g,0g
baking soda,Generic, 0.125 tsp. (o.6g),0,0g,0g,0g
baking soda,red mill baking soda, 1.25 tsp,0,0g,0g,0g
coconut flakes,Coconut flakes, 1 tsp,70,7g,5g,1g
coconut flakes,Coconut Flakes, 93 grams,466,44g,33g,3g
coconut flakes,Dried Coconut Flakes, 175 grams,660,23g,64g,6g
dahi,Homemade Dahi, 113 grams,111,4g,5g,13g
dahi,Dahi Baba, 100 g,59,5g,3g,3g
dahi,Dahi, 100 ml,62,4g,3g,4g
Bombay duck,Fresh Bombay Duck - Custom, 100 grams,68,1g,1g,14g
Bombay duck,Bombay Duck, 100 g,293,2g,4g,62g
Bombay duck,Ref:j02901.tw.fda, 100 g,49,0g,0g,10g
white bread slices,White Bread, 2 slices,140,26g,2g,4g
white bread slices,White Bread, 2 slices,140,27g,0g,0g
white bread slices,White Bread, 2 slices,150,0g,0g,0g
tomato sauce,Kraft Tomato Sauce, 1 portion,13,1g,1g,1g
tomato sauce,Tuttorosso-tomato Sauce, 61 grams,20,4g,0g,1g
tomato sauce,Prego, 0.5 cup,70,13g,2g,2g
Chicken thighs,Chicken Thighs, 6 oz,270,0g,17g,27g
Chicken thighs,tesco chicken thighs, 1 thigh,150,0g,8g,22g
Chicken thighs,Ono Chicken Thighs, 1 serving,195,9g,50g,25g
urad dal,Veer Urad Dal, 100 gm,270,40g,3g,20g
urad dal,Urad Dal Cooked, 0.5 Cup Cooked,235,33g,5g,14g
urad dal,Aligarh, 1 Cup Cooked,350,50g,7g,19g
sugar syrup,sugar free syrup, 0.25 cup,35,11g,0g,0g
sugar syrup,Monin, 25 ml,84,21g,0g,0g
sugar syrup,(M) Myprotein Sugar-free Syrup, 100 g,4,1g,0g,0g
Mango,1 cup, pieces,60,15g,0g,1g
Mango,Champagne Mango, 1 cup (140g),110,27g,0g,0g
Mango,Mango, 100 grams,63,14g,0g,1g
beetroot,Beetroot, 1 cup,81,4g,7g,1g
beetroot,Beetroot Masala, 1 cup cooked,60,0g,0g,0g
beetroot,Beetroot burger, 1 cup,250,3g,16g,15g
cabbage,1 cup, chopped,25,6g,0g,1g
cabbage,Cabbage, 1 cup (70 g),22,5g,0g,1g
cabbage,Roasted Cabbage, 1 wedge,20,9g,0g,4g
cottage cheese,Aldi's cottage cheese, 0.5 c,80,6g,2g,12g
cottage cheese,Cottage Cheese, 0.5 cup,120,5g,5g,13g
cottage cheese,hood lowfat cottage cheese, 0.5 cup,90,5g,1g,14g
Chicken,Grilled chicken, 4 oz,100,1g,2g,22g
Chicken,Chicken tenderloin, 1 piece,100,0g,1g,22g
Chicken,Chicken drumsticks, 1 One drumstick,180,0g,10g,22g
nuts,Nuts, 1 pack,100,3g,9g,3g
nuts,Delta nuts, 0.25 cup,70,2g,6g,3g
